file,pattern
cancerRiskByGroup.csv,CANCERRISKPERMILLION
cancerRiskByPollutant.csv,CANCERRISKPERMILLION
immunologicalRiskByGroup.csv,IMMUNOLOGICALHAZARDQUOTIENT
immunologicalRiskByPollutant.csv,IMMUNOLOGICALHAZARDQUOTIENT
kidneyRiskByGroup.csv,KIDNEYHAZARDQUOTIENT
kidneyRiskByPollutant.csv,KIDNEYHAZARDQUOTIENT
liverRiskByGroup.csv,LIVERHAZARDQUOTIENT
liverRiskByPollutant.csv,LIVERHAZARDQUOTIENT
neurologicalRiskByGroup.csv,NEUROLOGICALHAZARDQUOTIENT
neurologicalRiskByPollutant.csv,NEUROLOGICALHAZARDQUOTIENT
respRiskByGroup.csv,RESPIRATORYHAZARDQUOTIENT
respRiskByPollutant.csv,RESPIRATORYHAZARDQUOTIENT
